SMILES,SMILES_state,NLL
COc1ccnc(CSc2nnc(CN3CCc4ccccc43)n2Cc2c(Cl)cccc2Cl)c1C,1,38.44
Cc1cccn2c(=N)n(CC(=O)c3cc(F)c(F)cc3F)nc12,1,27.46
Cc1cn(C2CC(CO)C=C2F)c(=O)[nH]c1=N,1,19.08
Cn1nc2ccccc2c(S(=O)(=O)NCCc2ccccc2)c1=O,1,29.51
CC(C)C(C1CCC2C3CCC4Cc5c(cnn5-c5cccc(Cl)c5)CC4(C)C3CCC21C)N(C)C,1,35.85
Cc1cc(-c2ccncc2)c(C#N)c(=N)[nH]1,1,18.99
COc1ccc(NC(C)=O)cc1,1,16.83
Cc1ccc(C(=O)Nn2c(O)csc2=S)cc1,1,19.75
Cc1ccc(-c2ccc(F)c(CNC(C)CO)n2)cc1C,1,26.55
Cn1cnc(-c2cc[nH]c(=Nc3ccc4ncc(NC(=O)c5ccsc5)cc4c3)n2)c1,1,32.99
CC(N=c1nc(N2C(=O)OCC2Cc2ccccc2)cc[nH]1)c1ccn(C)n1,1,26.8
Cc1ccc(S(N)(=O)=O)cc1C(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,1,25.85
COc1cccc(-c2ccc(F)c3c2CN(C(=O)C=Cc2cccnc2)CC3)c1,1,26.34
CC(=O)c1ccc(-n2ccc3c(c2=O)OCC3)cc1,1,27.52
Nc1ccc(C2(c3ccccc3)SCCCS2)cc1,1,20.27
Cc1cccc(C)c1NC(=O)COC(=O)c1cccs1,1,19.81
COc1ccc(-c2cc3ccncc3o2)cc1C(C)(C)C#N,1,33.29
CC(=O)Oc1cc(OC(=O)c2ccccc2)ccc1C(C)=O,1,25.02
CSc1ccc(NC(=O)C2Cc3c(-c4ccc(C)cc4)ccnc3O2)cc1,1,24.71
CCn1c(C)c(C(=O)c2ccccc2)cc(C#N)c1=O,1,25.51
S=c1[nH]nc(Cc2cccs2)n1-c1ccccc1,1,17.52
O=C(NCc1c(F)cccc1Cl)c1cccc2ccccc12,1,24.36
COc1cc(C2CC(c3ccc(Cl)cc3)=NN2C=C2SC(=S)N(c3cccc(C)c3)C2=O)ccc1O,1,27.78
Cc1cccc(NC(=O)c2cc3ccccc3n2Cc2ccccc2)c1C,1,24.04
O=C(O)CCCN1C(=O)C(=CC(=O)Sc2cc(Cl)ccc2Cl)SC1=S,1,31.87
Cc1noc(C)c1C(=O)NCCN=c1cncc[nH]1,1,24.66
COc1ccccc1C1CC(C(=O)NC2C3CC4CC2CC(C3)C(C)(C)O4)CN1C,1,38.97
Cc1ccc(-n2cc(CNCc3cn4c(C)cccc4n3)nn2)cc1,1,28.02
O=C(c1nc(SCc2ccccc2F)nc2ccccc12)N1CCOCC1,1,27.99
COc1cccc(-c2cc(C(=O)NCCc3ccccc3)no2)c1,1,20.28
CCN(c1cccc(CN=c2cc(C)[nH]n3c(Br)cnc23)c1)C1CCOC1,1,41.69
Cc1cccc(N=c2nc(-c3ccccc3)[nH]c3ccccc23)c1,1,20.56
Cc1[nH]c(=N)sc1C(=O)Nc1ccccc1Cl,1,20.48
O=C1CN(S(=O)(=O)c2cc(C(=O)O)ccc2Cl)c2ccccc2N1,1,21.74
CS(=O)(=O)N1CCN(Cc2ccc(Cl)cc2)C(=O)C1,1,22.09
ON=Cc1cccc2ccccc12,1,18.48
COC(=O)c1ccccc1Nc1ccc2c(c1)NCCO2,1,29.44
Cc1cccc(NC(=O)COc2ccc(-n3cnnn3)cc2)c1C,1,20.01
CSc1ncccc1C(=O)OCC(=O)Nc1ccc(F)cc1,1,20.65
Cn1cccc1CN(Cc1ccccc1)C(=S)Nc1ccc(Cl)cc1Cl,1,26.14
Cc1cc(C)c2cc(-c3ccc(-c4c(C)cc(O)cc4C)[nH]3)ccc2c1,1,33.88
CC1CCN(CCC(=O)N=c2[nH]c3ccc(S(=O)(=O)NCCc4cccs4)cc3s2)CC1,1,35.25
COc1ccc(N=c2cc(-c3cccnc3)cc[nH]2)cc1,1,20.34
Cc1nn(Cc2ccncc2)c2c(C#N)c(N3CCNCC3)nc(F)c12,1,29.89
CC(=O)N1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,1,22.63
O=[N+]([O-])c1ccc(C=NNC(=S)Nc2ccccc2C(F)(F)F)cc1,1,22.16
O=[N+]([O-])c1cn2c(n1)OCC(NCc1ccc(OC(F)(F)F)cc1)C2,1,19.0
CC(=O)NC1CCCN(C(=O)c2ccc(Cl)cc2)C1,1,21.77
Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc3ccccc3c2)cc1,1,20.95
CN(C)c1nnn2cc(-c3ccccc3Cl)[nH]c12,1,29.17
CC(C)CC(NC(=O)CCCCc1ccc(CCCc2ccccc2)cc1)C(=O)NC(C)c1ccccc1,1,34.56
O=C(N=c1[nH]ccs1)C1NCCC1F,1,26.59
O=C(O)c1cccc(-c2ccc(C=NNC(=O)c3cccs3)cc2)c1,1,24.31
CCOC(=O)CN1C(=O)SC(=Cc2c(C)nn(-c3ccccc3)c2Oc2cccc(C(F)(F)F)c2)C1=O,1,29.62
O=C(CNCCc1cccc2ccccc12)NCC(O)c1ccc(O)c(CO)c1,1,32.04
Cc1ccc(NC(=O)Nc2ccc3[nH]c4ccccc4c(=Nc4cccc(N(C)C)c4)c3c2)cc1,1,32.73
Cc1ccccc1NS(=O)(=O)c1ccc(N(C)C)c(F)c1,1,24.32
CCN(C(=O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1nc(-c2cccc(F)c2F)cs1,1,33.52
CCOc1ccc(-c2nnn(C)n2)cc1,1,19.51
N#Cc1ccc(N=c2nc(N=c3cc(C4CC4)[nH][nH]3)[nH]c3ccc(Cl)cc23)cc1,1,27.63
CCCCCCN(CC1CC1)C(=O)c1ccc(CC(=Cc2ccc(Br)cc2)C(=O)OC)cc1,1,41.84
N=c1[nH]c2ccc(-n3cc(-c4ccc(F)cc4)nn3)cc2o1,1,27.53
COc1cc(OC)c(N2C(=O)c3ccccc3C2=O)cc1Br,1,23.86
O=C(CSc1[nH]c(=O)nc2c1oc1ccccc12)Nc1cc(F)ccc1F,1,30.73
Cc1occc1-c1nc2c(C#N)cnn2cc1F,1,28.1
NS(=O)(=O)c1ccc(Cl)c(C(=O)Nc2ccc3ccccc3c2)c1,1,24.76
O=c1[nH]c(Cc2ccc(-c3ccccc3)cc2)c(O)n1Cc1cccc(Oc2ccccc2)c1,1,24.58
O=c1c2ccn(-c3ccccn3)c2ncn1-c1cccc(F)c1,1,27.31
O=C1c2c(ccc(O)c2O)C(=O)c2c1c(O)c1cccc(O)c1c2O,1,25.05
CC(C)CN(CC(Cc1ccccc1)NC(=O)OCc1cncs1)CC(O)C(=O)NC(C)OCc1cccnc1,1,32.17
CS(=O)(=O)Nc1cccc(-c2c[nH]c(=N)c3nc(-c4ccc(Oc5ccccc5)cc4)ccc23)c1,1,33.88
CC(=O)N=C1NNC(=Cc2cccc([N+](=O)[O-])c2)S1,1,27.88
CNC(=O)c1occ(NC(=O)c2ccccc2)c1C,1,25.33
CC1=NC2(NC1=N)c1cc(-c3cc(O)cc(Cl)c3)ccc1CC21CCC(OC(F)F)CC1,1,30.78
CN(C)C1=Nc2cc(OCc3ccccc3)ccc2CN1CC(=O)CN1CCOCC1,1,36.0
CSc1nn(-c2ccccc2)c2[nH]c(C)nc(=NC3CCCNC3)c12,1,24.17
Cc1ccccc1N=c1cc(C)c2ccccc2[nH]1,1,20.59
CC(C)c1noc(CN2CCC(c3ccnn3CCO)CC2)n1,1,22.57
Cc1ccc(NC(=O)CCC2CCCC2)cc1S(=O)(=O)N(C)C,1,23.64
O=C1CCC(N=c2[nH]c(C(F)(F)F)nc3ccccc23)c2ccccc21,1,28.39
CCOc1ccc(C(=O)C2CCN(C(=O)c3cccc(C)c3)CC2)cc1,1,25.76
COC(=CCC(C)(F)CCC=C(C)C)C(F)(F)F,1,35.44
CC1=NN(c2cc(-c3ccc(Cl)cc3)ccc2C#N)C(c2ccccc2)C1,1,32.46
NC(=O)c1cccc(CNc2ccccc2C(=O)NOCc2ccccc2)c1N,1,33.47
COc1ccc(C(C)C)cc1-c1cc(C)cc(C)c1CC(=O)O,1,30.67
COc1ccccc1C(=O)N1CC(c2ccncc2)C1,1,25.35
COc1ccc(Cn2cc(CNC(=O)c3ccc(S(C)(=O)=O)c([N+](=O)[O-])c3)nn2)cc1,1,27.51
O=C1CCN(C(=O)c2ncc(-c3ccc(CN4CCOCC4)cc3)s2)C(c2ccccc2)C1,1,35.5
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)c(C(=O)c2ccc(Cl)cc2)c1N,1,20.28
CC(=O)C1=C(C)N(c2ccc(Cl)cc2)C(=N)C(C#N)C1c1ccc([N+](=O)[O-])cc1,1,23.36
Cn1nnnc1SCC(N)C(=O)O,1,23.31
COC(=O)Nc1ccccc1C(C)(C)NC(=O)N(C)C,1,32.14
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1NC(=O)C(C)(C)C,1,24.99
COc1ccn2nc(S(=O)(=O)Nc3ccc(Cl)cc3)nc2n1,1,22.8
O=C(O)c1ccccc1Nc1cc(Cl)c(Cl)cc1Cl,1,19.93
Nc1c(N2CCOCC2)ccc([N+](=O)[O-])c1N1CCCC1,1,27.42
CCCCCCC[n+]1cc(OC)c2ccccc2c1,1,25.62
CC#CCNC(=O)C12CCC(C)(C)CC1C1=CCC3(C4CC35CCC(O)C(C)(C)C5CCC(OC(C)=O)C4(C)C)C1(C)CC2,1,47.86
CC(N)C1OC(n2cc(F)c(=O)[nH]c2=O)C(N)C(O)C1O,1,24.54
CN1CCN(C(=O)c2ccc(OC3CCN(Cc4ccccc4O)CC3)nc2)CC1,1,28.51
Cc1[nH]c(=NC(C)c2c(C)[nH]n(Cc3cccs3)c2=O)cc(-c2ccccn2)c1-c1ccc(F)cc1,1,34.84
Cc1c(-c2ccc(-c3cc[nH]n3)cc2)[nH]c2ccc(F)cc2c1=O,1,24.68
CN(C(=O)Nc1ccc(O)c(O)c1)c1ccccc1,1,25.97
CCC1(C)CC(=O)NC(=O)c2c1[nH]c(SC)nc2=N,1,27.28
Cc1ccc(-c2nc(N3CCOCC3)c3c(=N)n(C)cnc3n2)c(C)c1,1,30.26
COc1cc(C2C(Cl)C(=O)N2NC(=O)c2ccncc2)ccc1O,1,20.27
Cn1c(=O)c2c(Cl)c3ccc(OCCCCCC(=O)O)cc3cc2n(C)c1=O,1,34.26
C#CC1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,1,20.05
COC12C(=S)SSN1c1ccccc1C2(C)O,1,35.76
COC1CCC2(CC1)Cc1ccc(-c3cccc(O)c3)cc1C21N=C(N)N(C)C1=O,1,22.0
Cc1c([N+](=O)[O-])ccc2c1CCC2=O,1,23.73
Clc1ccccc1Cn1cccc1,1,19.21
Cc1cccc(C(=O)NCC(=O)NC(C)C(=O)NCc2cccc(Cl)c2Cl)c1,1,30.69
CCn1cc(C#N)c(N2CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)CC2)n1,1,29.26
CCN1C(=O)c2ccccc2C(C(=O)NC(C)C(F)(F)F)C1c1ccncc1,1,38.94
COc1cc(O)c2c(c1)C(=O)c1ccc(C)c(OC)c1C2=O,1,21.93
COc1cc(C(=O)c2cn(-c3ccccn3)c3ccc(Cl)cc23)cc(OC)c1OC,1,27.41
Cc1n[nH]c(CO)c1Sc1ccc(Cl)cc1,1,21.65
Cc1ccc(C(=O)c2c(O)c(O)n(CCCN(C)C)c2-c2ccccc2)cc1C,1,21.64
COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(S(=O)(=O)N=c3[nH]ccs3)ccc12,1,21.09
O=C(CCn1ccnc1)Nc1cc(Br)cc2c(=O)[nH]ccc12,1,31.8
Cc1[nH][nH]c(=Nc2nc(=Nc3ccc(N4CCN(C)CC4)cc3)[nH]cc2Br)c1Cl,1,23.13
COc1ccc(S(=O)(=O)NCCc2c(C)sc3cc(OC)ccc23)cc1,1,26.01
CCN(Cc1ccncc1)S(=O)(=O)c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,1,27.35
Cc1nc(C(=O)N2CCN(c3ccccc3F)CC2)cc2ccc(N3CCCCC3)nc12,1,33.77
O=c1c2c(F)cccc2oc(=S)n1-c1nc2ccccc2[nH]1,1,30.37
O=C1CC(C(=O)N2CCN(c3cccc(C(F)(F)F)n3)CC2)(C(F)(F)F)C=N1,1,29.41
O=c1oc(C=Cc2ccccc2)nc2ccccc12,1,17.99
c1cnc2[nH]c(-c3ccncc3)nc2c1,1,17.54
